Skills Covered,My Matches,Job Zone,Code,Occupation
33,1,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
25,1,4,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
25,1,2,43-3061.00,Procurement Clerks
25,1,2,41-2031.00,Retail Salespersons
20,1,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
20,1,3,41-4011.07,Solar Sales Representatives and Assessors
16,1,4,27-3041.00,Editors
16,1,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
16,1,4,41-9021.00,Real Estate Brokers
16,1,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
16,1,4,27-2012.04,Talent Directors
14,1,4,41-3011.00,Advertising Sales Agents
14,1,4,27-1025.00,Interior Designers
14,1,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
14,1,3,33-3021.00,Detectives and Criminal Investigators
12,1,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
12,1,4,19-1031.02,Range Managers
12,1,3,33-3051.00,Police and Sheriff's Patrol Officers
12,1,3,41-9022.00,Real Estate Sales Agents
12,1,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
11,1,5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
11,1,5,23-1022.00,"Arbitrators, Mediators, and Conciliators"
11,1,5,11-3031.03,Investment Fund Managers
11,1,4,13-1041.03,Equal Opportunity Representatives and Officers
11,1,4,19-1032.00,Foresters
11,1,3,35-1011.00,Chefs and Head Cooks
11,1,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
11,1,2,11-9051.00,Food Service Managers
10,1,5,17-1011.00,"Architects, Except Landscape and Naval"
10,1,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
10,1,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
10,1,4,13-1131.00,Fundraisers
10,1,4,13-1121.00,"Meeting, Convention, and Event Planners"
10,1,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
10,1,4,11-9199.10,Wind Energy Development Managers
10,1,3,47-1011.03,Solar Energy Installation Managers
9,1,5,23-1011.00,Lawyers
9,1,4,11-2011.00,Advertising and Promotions Managers
9,1,4,27-1011.00,Art Directors
9,1,4,11-9021.00,Construction Managers
9,1,4,11-1021.00,General and Operations Managers
9,1,4,15-1299.09,Information Technology Project Managers
9,1,4,27-2012.00,Producers and Directors
9,1,4,11-3071.04,Supply Chain Managers
9,1,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
9,1,3,11-9199.09,Wind Energy Operations Managers
8,1,5,29-1141.02,Advanced Practice Psychiatric Nurses
8,1,5,11-9041.00,Architectural and Engineering Managers
8,1,5,21-1014.00,Mental Health Counselors
8,1,4,21-1021.00,"Child, Family, and School Social Workers"
8,1,4,13-1075.00,Labor Relations Specialists
8,1,4,13-1081.00,Logisticians
8,1,4,41-9031.00,Sales Engineers
8,1,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
8,1,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
7,1,5,11-1011.00,Chief Executives
7,1,5,21-1013.00,Marriage and Family Therapists
7,1,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
7,1,4,11-3051.00,Industrial Production Managers
7,1,4,11-9081.00,Lodging Managers
7,1,4,11-2021.00,Marketing Managers
7,1,4,11-3061.00,Purchasing Managers
7,1,3,11-3051.06,Hydroelectric Production Managers
7,1,2,33-1012.00,First-Line Supervisors of Police and Detectives
7,1,2,11-9071.00,Gambling Managers
7,1,5,21-2011.00,Clergy
7,1,5,19-3033.00,Clinical and Counseling Psychologists
7,1,5,29-1031.00,Dietitians and Nutritionists
7,1,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
7,1,5,11-9033.00,"Education Administrators, Postsecondary"
7,1,5,25-9021.00,Farm and Home Management Educators
7,1,5,21-1023.00,Mental Health and Substance Abuse Social Workers
7,1,5,29-1223.00,Psychiatrists
7,1,4,27-2022.00,Coaches and Scouts
7,1,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
7,1,4,11-9161.00,Emergency Management Directors
7,1,4,11-3031.00,Financial Managers
7,1,4,11-3121.00,Human Resources Managers
7,1,4,11-2022.00,Sales Managers
7,1,4,11-9151.00,Social and Community Service Managers
