Skills Covered,My Matches,Job Zone,Code,Occupation
100,1,2,31-2022.00,Physical Therapist Aides
50,1,3,39-4011.00,Embalmers
50,1,2,27-2011.00,Actors
33,1,3,31-2012.00,Occupational Therapy Aides
33,1,3,31-2011.00,Occupational Therapy Assistants
33,1,3,29-1124.00,Radiation Therapists
33,1,2,39-9011.01,Nannies
33,1,2,31-1133.00,Psychiatric Aides
25,1,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
25,1,4,13-1041.00,Compliance Officers
25,1,4,27-3091.00,Interpreters and Translators
25,1,3,43-4061.00,"Eligibility Interviewers, Government Programs"
25,1,3,31-9092.00,Medical Assistants
25,1,3,29-2033.00,Nuclear Medicine Technologists
25,1,3,25-2011.00,"Preschool Teachers, Except Special Education"
25,1,3,33-9021.00,Private Detectives and Investigators
25,1,3,39-9041.00,Residential Advisors
25,1,3,31-9099.01,Speech-Language Pathology Assistants
25,1,2,33-3012.00,Correctional Officers and Jailers
25,1,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
25,1,2,43-5031.00,Public Safety Telecommunicators
20,1,4,33-3031.00,Fish and Game Wardens
20,1,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
20,1,4,27-3023.00,"News Analysts, Reporters, and Journalists"
20,1,4,39-9032.00,Recreation Workers
20,1,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
20,1,4,21-1093.00,Social and Human Service Assistants
20,1,3,31-2021.00,Physical Therapist Assistants
16,1,5,29-1291.00,Acupuncturists
16,1,5,29-9092.00,Genetic Counselors
16,1,5,29-1024.00,Prosthodontists
16,1,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
16,1,4,13-2071.00,Credit Counselors
16,1,4,27-3041.00,Editors
16,1,4,21-1091.00,Health Education Specialists
16,1,4,13-1071.00,Human Resources Specialists
16,1,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
16,1,4,27-2012.04,Talent Directors
16,1,3,11-3012.00,Administrative Services Managers
16,1,3,27-2032.00,Choreographers
16,1,3,13-1041.06,Coroners
16,1,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
16,1,3,39-1022.00,First-Line Supervisors of Personal Service Workers
16,1,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
16,1,3,29-2099.08,Patient Representatives
16,1,3,29-2053.00,Psychiatric Technicians
