Skills Covered,My Matches,Job Zone,Code,Occupation
100,1,3,27-2031.00,Dancers
100,1,3,47-2022.00,Stonemasons
100,1,2,27-2021.00,Athletes and Sports Competitors
100,1,2,47-2031.00,Carpenters
100,1,2,47-3016.00,Helpers--Roofers
100,1,2,47-4051.00,Highway Maintenance Workers
100,1,2,49-9095.00,Manufactured Building and Mobile Home Installers
100,1,2,49-9044.00,Millwrights
100,1,2,47-5043.00,"Roof Bolters, Mining"
100,1,2,47-2181.00,Roofers
100,1,2,47-4091.00,Segmental Pavers
50,1,3,27-4031.00,"Camera Operators, Television, Video, and Film"
50,1,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
33,1,4,27-2041.00,Music Directors and Composers
33,1,4,27-1014.00,Special Effects Artists and Animators
33,1,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
33,1,3,31-2011.00,Occupational Therapy Assistants
33,1,3,51-8012.00,Power Distributors and Dispatchers
33,1,3,29-2055.00,Surgical Technologists
33,1,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
33,1,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
33,1,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
33,1,2,31-1133.00,Psychiatric Aides
25,1,4,27-3011.00,Broadcast Announcers and Radio Disc Jockeys
25,1,3,53-2022.00,Airfield Operations Specialists
25,1,3,47-2111.00,Electricians
25,1,3,33-2011.00,Firefighters
25,1,3,25-2011.00,"Preschool Teachers, Except Special Education"
25,1,2,33-3012.00,Correctional Officers and Jailers
25,1,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
25,1,2,43-5031.00,Public Safety Telecommunicators
25,1,2,53-4031.00,Railroad Conductors and Yardmasters
25,1,2,39-7012.00,Travel Guides
20,1,4,27-3023.00,"News Analysts, Reporters, and Journalists"
20,1,4,39-9032.00,Recreation Workers
20,1,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
20,1,2,53-1041.00,Aircraft Cargo Handling Supervisors
16,1,5,27-1027.00,Set and Exhibit Designers
16,1,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
16,1,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
16,1,4,13-1071.00,Human Resources Specialists
16,1,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
16,1,4,13-1199.05,Sustainability Specialists
16,1,3,11-3012.00,Administrative Services Managers
16,1,3,27-2032.00,Choreographers
16,1,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
16,1,3,39-1022.00,First-Line Supervisors of Personal Service Workers
16,1,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
16,1,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
