Skills Covered,My Matches,Job Zone,Code,Occupation
33,1,5,25-9044.00,"Teaching Assistants, Postsecondary"
33,1,3,15-1232.00,Computer User Support Specialists
33,1,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
16,1,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
16,1,4,19-2031.00,Chemists
16,1,4,17-2061.00,Computer Hardware Engineers
16,1,4,29-2011.00,Medical and Clinical Laboratory Technologists
16,1,4,17-2072.01,Radio Frequency Identification Device Specialists
16,1,4,15-1299.01,Web Administrators
16,1,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
16,1,3,27-2032.00,Choreographers
16,1,3,43-9031.00,Desktop Publishers
14,1,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
14,1,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
14,1,5,15-2021.00,Mathematicians
14,1,4,19-2021.00,Atmospheric and Space Scientists
14,1,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
14,1,4,15-1243.00,Database Architects
14,1,4,17-2199.07,Photonics Engineers
14,1,4,17-1022.00,Surveyors
14,1,3,19-4092.00,Forensic Science Technicians
14,1,3,25-3041.00,Tutors
12,1,5,19-2011.00,Astronomers
12,1,5,25-1032.00,"Engineering Teachers, Postsecondary"
12,1,5,19-3011.01,Environmental Economists
12,1,5,25-1064.00,"Geography Teachers, Postsecondary"
12,1,5,19-2041.03,Industrial Ecologists
12,1,5,17-2199.06,Microsystems Engineers
12,1,5,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
12,1,5,25-1054.00,"Physics Teachers, Postsecondary"
12,1,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
12,1,4,17-2141.02,Automotive Engineers
12,1,4,15-1241.00,Computer Network Architects
12,1,4,15-1242.00,Database Administrators
12,1,4,19-3092.00,Geographers
12,1,4,17-2131.00,Materials Engineers
12,1,3,53-2012.00,Commercial Pilots
12,1,3,15-1211.00,Computer Systems Analysts
11,1,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
11,1,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
11,1,5,29-9091.00,Athletic Trainers
11,1,5,19-1021.00,Biochemists and Biophysicists
11,1,5,25-1042.00,"Biological Science Teachers, Postsecondary"
11,1,5,19-1029.04,Biologists
11,1,5,15-2041.01,Biostatisticians
11,1,5,25-1011.00,"Business Teachers, Postsecondary"
11,1,5,25-1052.00,"Chemistry Teachers, Postsecondary"
11,1,5,25-1122.00,"Communications Teachers, Postsecondary"
11,1,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
11,1,5,25-1063.00,"Economics Teachers, Postsecondary"
11,1,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
11,1,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
11,1,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
11,1,5,25-1112.00,"Law Teachers, Postsecondary"
11,1,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
11,1,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
11,1,5,29-9099.01,Midwives
11,1,5,29-1123.00,Physical Therapists
11,1,5,25-1065.00,"Political Science Teachers, Postsecondary"
11,1,5,19-3041.00,Sociologists
11,1,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
11,1,4,11-3051.04,Biomass Power Plant Managers
11,1,4,15-2051.02,Clinical Data Managers
11,1,4,25-2021.00,"Elementary School Teachers, Except Special Education"
11,1,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
11,1,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
11,1,4,29-1129.02,Music Therapists
11,1,4,15-1244.00,Network and Computer Systems Administrators
11,1,4,29-1125.00,Recreational Therapists
11,1,4,25-2057.00,"Special Education Teachers, Middle School"
11,1,3,11-3051.02,Geothermal Production Managers
10,1,5,19-3091.00,Anthropologists and Archeologists
10,1,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
10,1,5,25-1031.00,"Architecture Teachers, Postsecondary"
10,1,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
10,1,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
10,1,5,25-1021.00,"Computer Science Teachers, Postsecondary"
10,1,5,25-1081.00,"Education Teachers, Postsecondary"
10,1,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
10,1,5,19-1029.03,Geneticists
10,1,5,25-1125.00,"History Teachers, Postsecondary"
10,1,5,17-2112.01,Human Factors Engineers and Ergonomists
10,1,5,25-1082.00,"Library Science Teachers, Postsecondary"
10,1,5,19-1029.02,Molecular and Cellular Biologists
10,1,5,29-1161.00,Nurse Midwives
10,1,5,29-1022.00,Oral and Maxillofacial Surgeons
10,1,5,29-1023.00,Orthodontists
10,1,5,29-1299.02,Orthoptists
10,1,5,19-2012.00,Physicists
10,1,5,25-1066.00,"Psychology Teachers, Postsecondary"
10,1,5,25-1067.00,"Sociology Teachers, Postsecondary"
10,1,4,15-2011.00,Actuaries
10,1,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
