Skills Covered,My Matches,Job Zone,Code,Occupation
50,1,3,17-3013.00,Mechanical Drafters
33,1,5,29-2011.02,Cytotechnologists
33,1,5,25-4022.00,Librarians and Media Collections Specialists
33,1,4,27-3043.05,"Poets, Lyricists and Creative Writers"
33,1,4,19-4061.00,Social Science Research Assistants
33,1,4,43-9111.00,Statistical Assistants
33,1,4,27-3042.00,Technical Writers
33,1,3,51-9162.00,Computer Numerically Controlled Tool Programmers
33,1,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
33,1,3,15-1241.01,Telecommunications Engineering Specialists
33,1,2,17-3029.01,Non-Destructive Testing Specialists
25,1,5,19-3093.00,Historians
25,1,4,13-2041.00,Credit Analysts
25,1,3,13-1041.08,Customs Brokers
25,1,3,15-1299.02,Geographic Information Systems Technologists and Technicians
25,1,3,43-4131.00,Loan Interviewers and Clerks
25,1,3,17-3024.01,Robotics Technicians
25,1,3,15-1254.00,Web Developers
25,1,2,43-3061.00,Procurement Clerks
20,1,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
20,1,5,23-1012.00,Judicial Law Clerks
20,1,5,15-2031.00,Operations Research Analysts
20,1,5,15-2041.00,Statisticians
20,1,4,15-2099.01,Bioinformatics Technicians
20,1,4,15-2051.01,Business Intelligence Analysts
20,1,4,17-3025.00,Environmental Engineering Technologists and Technicians
20,1,4,33-3031.00,Fish and Game Wardens
20,1,4,27-3023.00,"News Analysts, Reporters, and Journalists"
20,1,4,19-4099.03,Remote Sensing Technicians
20,1,4,17-2199.11,Solar Energy Systems Engineers
20,1,3,33-2021.00,Fire Inspectors and Investigators
20,1,3,19-4012.01,Precision Agriculture Technicians
16,1,5,19-1011.00,Animal Scientists
16,1,5,13-2099.01,Financial Quantitative Analysts
16,1,5,29-9092.00,Genetic Counselors
16,1,5,19-2043.00,Hydrologists
16,1,4,13-2011.00,Accountants and Auditors
16,1,4,19-4021.00,Biological Technicians
16,1,4,19-2031.00,Chemists
16,1,4,17-2061.00,Computer Hardware Engineers
16,1,4,13-2071.00,Credit Counselors
16,1,4,27-3041.00,Editors
16,1,4,17-2072.00,"Electronics Engineers, Except Computer"
16,1,4,13-1041.01,Environmental Compliance Inspectors
16,1,4,17-2111.02,Fire-Prevention and Protection Engineers
16,1,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
16,1,4,17-2141.01,Fuel Cell Engineers
16,1,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
16,1,4,21-1091.00,Health Education Specialists
16,1,4,17-2112.00,Industrial Engineers
16,1,4,15-1212.00,Information Security Analysts
16,1,4,13-1081.02,Logistics Analysts
16,1,4,13-1161.00,Market Research Analysts and Marketing Specialists
16,1,4,19-2032.00,Materials Scientists
16,1,4,29-2011.00,Medical and Clinical Laboratory Technologists
16,1,4,17-2072.01,Radio Frequency Identification Device Specialists
16,1,4,41-9021.00,Real Estate Brokers
