Skills Covered,My Matches,Job Zone,Code,Occupation
100,1,3,51-8013.04,Hydroelectric Plant Technicians
100,1,3,33-3052.00,Transit and Railroad Police
100,1,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
100,1,2,51-8092.00,Gas Plant Operators
100,1,2,49-9099.01,Geothermal Technicians
100,1,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
100,1,2,53-4011.00,Locomotive Engineers
100,1,1,47-5011.00,"Derrick Operators, Oil and Gas"
50,1,3,27-4012.00,Broadcast Technicians
50,1,3,29-2051.00,Dietetic Technicians
50,1,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
50,1,3,19-4071.00,Forest and Conservation Technicians
50,1,2,39-2011.00,Animal Trainers
50,1,2,51-9161.00,Computer Numerically Controlled Tool Operators
50,1,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
50,1,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
50,1,2,33-9099.02,Retail Loss Prevention Specialists
33,1,4,15-1231.00,Computer Network Support Specialists
33,1,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
33,1,4,17-3026.01,Nanotechnology Engineering Technologists and Technicians
33,1,4,13-1199.06,Online Merchants
33,1,3,29-2031.00,Cardiovascular Technologists and Technicians
33,1,3,19-4031.00,Chemical Technicians
33,1,3,51-9162.00,Computer Numerically Controlled Tool Programmers
33,1,3,39-9031.00,Exercise Trainers and Group Fitness Instructors
33,1,3,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
33,1,3,29-2035.00,Magnetic Resonance Imaging Technologists
33,1,3,29-2099.01,Neurodiagnostic Technologists
33,1,3,19-4051.02,Nuclear Monitoring Technicians
33,1,3,51-8011.00,Nuclear Power Reactor Operators
33,1,3,19-5012.00,Occupational Health and Safety Technicians
33,1,3,19-4099.01,Quality Control Analysts
33,1,3,53-5031.00,Ship Engineers
33,1,3,27-4014.00,Sound Engineering Technicians
33,1,3,29-9093.00,Surgical Assistants
33,1,3,29-2055.00,Surgical Technologists
33,1,3,29-2056.00,Veterinary Technologists and Technicians
33,1,2,45-2011.00,Agricultural Inspectors
33,1,2,51-8091.00,Chemical Plant and System Operators
33,1,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
33,1,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
33,1,2,39-9011.01,Nannies
33,1,2,17-3029.01,Non-Destructive Testing Specialists
33,1,2,43-5061.00,"Production, Planning, and Expediting Clerks"
33,1,2,31-1133.00,Psychiatric Aides
33,1,2,53-1042.01,Recycling Coordinators
25,1,4,17-2071.00,Electrical Engineers
25,1,4,27-3091.00,Interpreters and Translators
25,1,4,15-1253.00,Software Quality Assurance Analysts and Testers
25,1,3,53-2022.00,Airfield Operations Specialists
25,1,3,33-3051.04,Customs and Border Protection Officers
25,1,3,13-1041.08,Customs Brokers
25,1,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
25,1,3,47-2111.00,Electricians
25,1,3,43-6011.00,Executive Secretaries and Executive Administrative Assistants
25,1,3,33-2011.00,Firefighters
25,1,3,31-9092.00,Medical Assistants
25,1,3,29-2033.00,Nuclear Medicine Technologists
25,1,3,19-4051.00,Nuclear Technicians
25,1,3,25-2011.00,"Preschool Teachers, Except Special Education"
25,1,3,33-9021.00,Private Detectives and Investigators
25,1,3,39-9041.00,Residential Advisors
25,1,3,31-9099.01,Speech-Language Pathology Assistants
25,1,2,33-3012.00,Correctional Officers and Jailers
25,1,2,53-4031.00,Railroad Conductors and Yardmasters
20,1,4,15-2099.01,Bioinformatics Technicians
20,1,4,17-3025.00,Environmental Engineering Technologists and Technicians
20,1,4,33-3031.00,Fish and Game Wardens
20,1,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
20,1,4,19-4099.03,Remote Sensing Technicians
20,1,4,21-1093.00,Social and Human Service Assistants
20,1,4,17-2199.11,Solar Energy Systems Engineers
20,1,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
20,1,3,13-1041.04,Government Property Inspectors and Investigators
20,1,3,31-2021.00,Physical Therapist Assistants
20,1,3,19-4012.01,Precision Agriculture Technicians
20,1,2,53-1041.00,Aircraft Cargo Handling Supervisors
16,1,5,29-1291.00,Acupuncturists
16,1,5,19-1011.00,Animal Scientists
16,1,5,19-2043.00,Hydrologists
16,1,5,29-1024.00,Prosthodontists
16,1,5,27-1027.00,Set and Exhibit Designers
16,1,4,13-2011.00,Accountants and Auditors
16,1,4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
16,1,4,19-4021.00,Biological Technicians
16,1,4,19-2031.00,Chemists
16,1,4,17-2072.00,"Electronics Engineers, Except Computer"
16,1,4,13-1041.01,Environmental Compliance Inspectors
16,1,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
16,1,4,17-2141.01,Fuel Cell Engineers
16,1,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
16,1,4,21-1091.00,Health Education Specialists
16,1,4,13-1071.00,Human Resources Specialists
16,1,4,17-2112.00,Industrial Engineers
16,1,4,15-1212.00,Information Security Analysts
16,1,4,13-1081.02,Logistics Analysts
16,1,4,13-1161.00,Market Research Analysts and Marketing Specialists
16,1,4,19-2032.00,Materials Scientists
16,1,4,29-2011.00,Medical and Clinical Laboratory Technologists
16,1,4,17-2072.01,Radio Frequency Identification Device Specialists
16,1,4,19-2099.01,Remote Sensing Scientists and Technologists
16,1,4,13-1199.05,Sustainability Specialists
16,1,4,27-2012.04,Talent Directors
16,1,4,17-2112.02,Validation Engineers
16,1,4,15-1299.01,Web Administrators
16,1,3,11-3012.00,Administrative Services Managers
16,1,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
16,1,3,27-2032.00,Choreographers
16,1,3,15-1299.08,Computer Systems Engineers/Architects
16,1,3,13-1041.06,Coroners
16,1,3,43-9031.00,Desktop Publishers
16,1,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
16,1,3,39-1022.00,First-Line Supervisors of Personal Service Workers
16,1,3,17-3026.00,Industrial Engineering Technologists and Technicians
16,1,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
16,1,3,29-2053.00,Psychiatric Technicians
16,1,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
16,1,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
16,1,2,11-9131.00,Postmasters and Mail Superintendents
14,1,5,19-2041.02,Environmental Restoration Planners
