Skills Covered,My Matches,Job Zone,Code,Occupation
33,1,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
33,1,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
33,1,2,53-1042.01,Recycling Coordinators
25,1,2,53-4031.00,Railroad Conductors and Yardmasters
20,1,2,53-1041.00,Aircraft Cargo Handling Supervisors
16,1,5,27-1027.00,Set and Exhibit Designers
16,1,4,27-3041.00,Editors
16,1,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
16,1,4,17-2111.02,Fire-Prevention and Protection Engineers
16,1,4,17-2141.01,Fuel Cell Engineers
16,1,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
16,1,3,11-3012.00,Administrative Services Managers
16,1,3,43-9031.00,Desktop Publishers
16,1,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
16,1,3,39-1022.00,First-Line Supervisors of Personal Service Workers
16,1,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
16,1,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
16,1,2,11-9131.00,Postmasters and Mail Superintendents
14,1,5,19-3022.00,Survey Researchers
14,1,4,17-2021.00,Agricultural Engineers
14,1,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
14,1,4,11-3111.00,Compensation and Benefits Managers
14,1,4,17-2199.05,Mechatronics Engineers
14,1,4,17-1022.00,Surveyors
14,1,4,19-1023.00,Zoologists and Wildlife Biologists
14,1,3,33-1011.00,First-Line Supervisors of Correctional Officers
14,1,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
14,1,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
14,1,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
14,1,3,11-9171.00,Funeral Home Managers
14,1,3,25-3041.00,Tutors
12,1,5,17-2199.06,Microsystems Engineers
12,1,5,17-2199.09,Nanosystems Engineers
12,1,4,17-2081.00,Environmental Engineers
12,1,4,17-1022.01,Geodetic Surveyors
12,1,4,17-2121.00,Marine Engineers and Naval Architects
12,1,4,17-2161.00,Nuclear Engineers
12,1,4,27-3031.00,Public Relations Specialists
12,1,4,15-1255.01,Video Game Designers
12,1,3,53-2021.00,Air Traffic Controllers
12,1,3,15-1211.00,Computer Systems Analysts
12,1,3,27-1022.00,Fashion Designers
11,1,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
11,1,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
11,1,5,19-1021.00,Biochemists and Biophysicists
11,1,5,25-1042.00,"Biological Science Teachers, Postsecondary"
11,1,5,19-1029.04,Biologists
11,1,5,15-2041.01,Biostatisticians
11,1,5,25-1011.00,"Business Teachers, Postsecondary"
11,1,5,25-1052.00,"Chemistry Teachers, Postsecondary"
11,1,5,11-3031.03,Investment Fund Managers
11,1,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
11,1,5,29-1123.00,Physical Therapists
11,1,4,17-2011.00,Aerospace Engineers
11,1,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
11,1,4,11-3051.04,Biomass Power Plant Managers
11,1,4,17-2041.00,Chemical Engineers
11,1,4,15-2051.02,Clinical Data Managers
11,1,4,19-1032.00,Foresters
11,1,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
11,1,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
11,1,4,15-1244.00,Network and Computer Systems Administrators
11,1,4,17-2171.00,Petroleum Engineers
11,1,4,11-9199.01,Regulatory Affairs Managers
11,1,4,13-1161.01,Search Marketing Strategists
11,1,4,25-2057.00,"Special Education Teachers, Middle School"
11,1,4,17-2051.01,Transportation Engineers
11,1,4,19-3099.01,Transportation Planners
11,1,4,11-9121.02,Water Resource Specialists
11,1,3,35-1011.00,Chefs and Head Cooks
11,1,3,11-3051.02,Geothermal Production Managers
11,1,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
11,1,2,11-9051.00,Food Service Managers
10,1,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
10,1,5,17-1011.00,"Architects, Except Landscape and Naval"
10,1,5,25-1031.00,"Architecture Teachers, Postsecondary"
10,1,5,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
10,1,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
10,1,5,15-1221.00,Computer and Information Research Scientists
10,1,5,25-1021.00,"Computer Science Teachers, Postsecondary"
10,1,5,25-4012.00,Curators
10,1,5,25-1081.00,"Education Teachers, Postsecondary"
10,1,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
10,1,5,19-1029.03,Geneticists
10,1,5,25-1125.00,"History Teachers, Postsecondary"
10,1,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
10,1,5,25-1082.00,"Library Science Teachers, Postsecondary"
10,1,5,19-1029.02,Molecular and Cellular Biologists
10,1,5,29-1023.00,Orthodontists
10,1,5,19-2012.00,Physicists
10,1,5,25-1066.00,"Psychology Teachers, Postsecondary"
10,1,5,25-1067.00,"Sociology Teachers, Postsecondary"
10,1,5,19-3051.00,Urban and Regional Planners
10,1,4,15-2011.00,Actuaries
10,1,4,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
10,1,4,17-2051.00,Civil Engineers
10,1,4,11-9121.01,Clinical Research Coordinators
10,1,4,19-1012.00,Food Scientists and Technologists
10,1,4,13-1131.00,Fundraisers
10,1,4,17-1012.00,Landscape Architects
10,1,4,13-1081.01,Logistics Engineers
10,1,4,27-2012.03,Media Programming Directors
10,1,4,13-1121.00,"Meeting, Convention, and Event Planners"
10,1,4,19-1022.00,Microbiologists
10,1,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
10,1,4,11-3031.01,Treasurers and Controllers
10,1,4,17-2051.02,Water/Wastewater Engineers
10,1,4,11-9199.10,Wind Energy Development Managers
10,1,3,47-1011.03,Solar Energy Installation Managers
10,1,3,11-9179.02,Spa Managers
9,1,5,29-1211.00,Anesthesiologists
9,1,5,11-1011.03,Chief Sustainability Officers
9,1,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
9,1,5,23-1011.00,Lawyers
9,1,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
9,1,5,29-1221.00,"Pediatricians, General"
9,1,5,29-1222.00,"Physicians, Pathologists"
9,1,5,29-1224.00,Radiologists
9,1,5,29-1229.03,Urologists
9,1,5,29-1131.00,Veterinarians
9,1,4,11-2011.00,Advertising and Promotions Managers
9,1,4,27-1011.00,Art Directors
9,1,4,11-3051.03,Biofuels Production Managers
9,1,4,11-9021.00,Construction Managers
9,1,4,21-2021.00,"Directors, Religious Activities and Education"
9,1,4,19-2041.00,"Environmental Scientists and Specialists, Including Health"
9,1,4,13-2061.00,Financial Examiners
9,1,4,11-1021.00,General and Operations Managers
9,1,4,15-1299.09,Information Technology Project Managers
9,1,4,17-2141.00,Mechanical Engineers
9,1,4,27-2012.05,Media Technical Directors/Managers
9,1,4,27-2012.00,Producers and Directors
9,1,4,11-3051.01,Quality Control Systems Managers
9,1,4,17-2199.08,Robotics Engineers
9,1,4,11-3071.04,Supply Chain Managers
9,1,4,13-1151.00,Training and Development Specialists
9,1,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
8,1,5,29-1141.02,Advanced Practice Psychiatric Nurses
8,1,5,11-9041.00,Architectural and Engineering Managers
8,1,5,19-1041.00,Epidemiologists
8,1,5,29-1215.00,Family Medicine Physicians
8,1,5,19-3032.00,Industrial-Organizational Psychologists
8,1,5,25-9031.00,Instructional Coordinators
8,1,5,11-9121.00,Natural Sciences Managers
8,1,5,29-1218.00,Obstetricians and Gynecologists
8,1,5,29-1122.00,Occupational Therapists
8,1,5,29-1051.00,Pharmacists
8,1,5,29-1071.00,Physician Assistants
8,1,5,29-1081.00,Podiatrists
8,1,5,25-1113.00,"Social Work Teachers, Postsecondary"
8,1,4,17-2031.00,Bioengineers and Biomedical Engineers
8,1,4,21-1021.00,"Child, Family, and School Social Workers"
8,1,4,11-3021.00,Computer and Information Systems Managers
8,1,4,29-1141.03,Critical Care Nurses
8,1,4,13-1075.00,Labor Relations Specialists
8,1,4,13-1081.00,Logisticians
8,1,4,11-9199.08,Loss Prevention Managers
8,1,4,17-2112.03,Manufacturing Engineers
8,1,4,11-9111.00,Medical and Health Services Managers
8,1,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
8,1,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
8,1,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
8,1,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
7,1,5,29-1229.01,Allergists and Immunologists
7,1,5,11-1011.00,Chief Executives
7,1,5,29-1141.04,Clinical Nurse Specialists
7,1,5,29-1021.00,"Dentists, General"
7,1,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
7,1,5,29-1229.02,Hospitalists
7,1,5,29-1217.00,Neurologists
7,1,5,29-1171.00,Nurse Practitioners
7,1,5,29-1241.00,"Ophthalmologists, Except Pediatric"
7,1,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
7,1,5,29-1229.05,Preventive Medicine Physicians
7,1,5,19-3034.00,School Psychologists
7,1,5,29-1127.00,Speech-Language Pathologists
7,1,5,29-1229.06,Sports Medicine Physicians
7,1,4,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
7,1,4,11-3051.00,Industrial Production Managers
